atoll,name_dv,name_en,island_code,feature_code,longitude,latitude
K,ގާފަރު,Gaafaru,H2,LD0873,73.499742,4.736055
K,ދިއްފުށި,Dhiffushi,H3,LD0894,73.714459,4.442992
K,ތުލުސްދޫ,Thulusdhoo,H4,LD0745,73.648045,4.372974
K,ހުރާ,Huraa,H5,LD0683,73.601749,4.333408
K,ހިންމަފުށި,Himmafushi,H6,LD1129,73.571118,4.30802
K,މާފުށި,Maafushi,H12,LD0069,73.48967,3.940986
K,ގުޅި,Gulhi,H11,LD0577,73.509039,3.990683
K,ގުރައިދޫ,Guraidhoo,H13,LD0738,73.46806,3.900798
AA,ތޮއްޑޫ,Thoddoo,U1,LD0501,72.959634,4.437216
AA,ރަސްދޫ,Rasdhoo,U2,LD0257,72.99185,4.263065
AA,އުކުޅަސް,Ukulhas,U4,LD0916,72.864255,4.215059
AA,ބޮޑުފޮޅުދޫ,Bodufolhudhoo,U6,LD0474,72.773394,4.185632
AA,މަތިވެރި,Mathiveri,U5,LD0132,72.746255,4.191863
AA,ފެރިދޫ,Feridhoo,U7,LD0287,72.725628,4.051064
AA,މާޅޮސް,Maalhos,U8,LD0004,72.719436,3.986338
AA,ހިމަންދޫ,Himandhoo,U9,LD0874,72.744422,3.920521
ADh,ހަންޏާމީދޫ,Hangnaameedhoo,I1,LD1023,72.955264,3.84924
ADh,އޮމަދޫ,Omadhoo,I2,LD0009,72.962487,3.791585
